#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+----------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath              | delivered(/fb) | recorded(/fb) |
| 304447:6272 | 10/05/17 01:17:36 | 1639 | HLT_DiPFJetAve60_v10 | 0.000007634    | 0.000007318   |
| 304451:6272 | 10/05/17 12:15:05 | 54   | HLT_DiPFJetAve60_v10 | 0.000000288    | 0.000000271   |
| 304505:6275 | 10/05/17 18:53:15 | 26   | HLT_DiPFJetAve60_v10 | 0.000000097    | 0.000000081   |
| 304506:6275 | 10/05/17 19:04:50 | 370  | HLT_DiPFJetAve60_v10 | 0.000001313    | 0.000001260   |
| 304507:6275 | 10/05/17 21:32:15 | 235  | HLT_DiPFJetAve60_v10 | 0.000000892    | 0.000000652   |
| 304508:6275 | 10/05/17 23:07:03 | 1324 | HLT_DiPFJetAve60_v10 | 0.000006094    | 0.000005941   |
| 304562:6276 | 10/06/17 12:30:33 | 794  | HLT_DiPFJetAve60_v10 | 0.000004510    | 0.000004197   |
| 304616:6278 | 10/06/17 22:15:30 | 942  | HLT_DiPFJetAve60_v10 | 0.000003978    | 0.000003771   |
| 304625:6279 | 10/07/17 07:35:53 | 462  | HLT_DiPFJetAve60_v10 | 0.000001704    | 0.000001501   |
| 304626:6279 | 10/07/17 10:38:44 | 8    | HLT_DiPFJetAve60_v10 | 0.000000030    | 0.000000028   |
| 304654:6283 | 10/08/17 01:25:39 | 645  | HLT_DiPFJetAve60_v10 | 0.000002451    | 0.000002042   |
| 304655:6283 | 10/08/17 05:39:51 | 1194 | HLT_DiPFJetAve60_v10 | 0.000005621    | 0.000005422   |
| 304661:6284 | 10/08/17 15:49:49 | 142  | HLT_DiPFJetAve60_v10 | 0.000000517    | 0.000000486   |
| 304662:6284 | 10/08/17 17:02:49 | 147  | HLT_DiPFJetAve60_v10 | 0.000000517    | 0.000000474   |
| 304663:6284 | 10/08/17 18:03:25 | 689  | HLT_DiPFJetAve60_v10 | 0.000003125    | 0.000002990   |
| 304671:6285 | 10/09/17 00:42:58 | 1139 | HLT_DiPFJetAve60_v10 | 0.000004811    | 0.000004569   |
| 304672:6285 | 10/09/17 08:09:10 | 60   | HLT_DiPFJetAve60_v10 | 0.000000260    | 0.000000254   |
| 304737:6287 | 10/09/17 19:53:10 | 75   | HLT_DiPFJetAve60_v10 | 0.000000279    | 0.000000260   |
| 304738:6287 | 10/09/17 20:24:42 | 1677 | HLT_DiPFJetAve60_v10 | 0.000007525    | 0.000007244   |
| 304739:6287 | 10/10/17 07:20:18 | 11   | HLT_DiPFJetAve60_v10 | 0.000000059    | 0.000000053   |
| 304740:6287 | 10/10/17 07:25:27 | 278  | HLT_DiPFJetAve60_v10 | 0.000001398    | 0.000001365   |
| 304776:6288 | 10/10/17 12:08:18 | 41   | HLT_DiPFJetAve60_v10 | 0.000000141    | 0.000000094   |
| 304777:6288 | 10/10/17 12:27:41 | 497  | HLT_DiPFJetAve60_v10 | 0.000001709    | 0.000001627   |
| 304778:6288 | 10/10/17 15:47:07 | 1297 | HLT_DiPFJetAve60_v10 | 0.000006021    | 0.000005859   |
| 304797:6291 | 10/11/17 07:04:09 | 2910 | HLT_DiPFJetAve60_v10 | 0.000012727    | 0.000012322   |
| 305044:6297 | 10/13/17 21:00:45 | 218  | HLT_DiPFJetAve60_v10 | 0.000000834    | 0.000000783   |
| 305045:6297 | 10/13/17 23:11:07 | 873  | HLT_DiPFJetAve60_v10 | 0.000005083    | 0.000004864   |
| 305046:6297 | 10/14/17 04:51:45 | 683  | HLT_DiPFJetAve60_v10 | 0.000003723    | 0.000003627   |
| 305059:6298 | 10/14/17 11:45:00 | 510  | HLT_DiPFJetAve60_v10 | 0.000001823    | 0.000001665   |
| 305062:6298 | 10/14/17 15:13:17 | 5    | HLT_DiPFJetAve60_v10 | 0.000000142    | 0.000000110   |
| 305063:6298 | 10/14/17 15:18:15 | 35   | HLT_DiPFJetAve60_v10 | 0.000000125    | 0.000000103   |
| 305064:6298 | 10/14/17 15:34:27 | 2045 | HLT_DiPFJetAve60_v10 | 0.000009148    | 0.000008900   |
| 305081:6300 | 10/15/17 09:05:35 | 1056 | HLT_DiPFJetAve60_v10 | 0.000004443    | 0.000004197   |
| 305112:6303 | 10/15/17 23:07:00 | 1455 | HLT_DiPFJetAve60_v10 | 0.000006372    | 0.000006101   |
| 305113:6303 | 10/16/17 08:40:46 | 59   | HLT_DiPFJetAve60_v10 | 0.000000223    | 0.000000214   |
| 305114:6303 | 10/16/17 09:05:22 | 526  | HLT_DiPFJetAve60_v10 | 0.000002347    | 0.000002289   |
| 305178:6304 | 10/16/17 17:19:50 | 53   | HLT_DiPFJetAve60_v10 | 0.000000185    | 0.000000172   |
| 305179:6304 | 10/16/17 17:41:42 | 17   | HLT_DiPFJetAve60_v10 | 0.000000059    | 0.000000039   |
| 305180:6304 | 10/16/17 17:50:42 | 5    | HLT_DiPFJetAve60_v10 | 0.000000138    | 0.000000044   |
| 305181:6304 | 10/16/17 17:55:03 | 7    | HLT_DiPFJetAve60_v10 | 0.000000197    | 0.000000047   |
